intercept,block-mean,block-lin,derivative-1,derivative-2,derivative-3,derivative-4
1.0,1.0782453962269831,-1.8228403832566005,-0.24262002947886405,-0.23131424476619197,0.3134347521122966,0.1836991195180351
1.0,1.038797705211929,-1.7906610122679922,-0.2792008218160455,-0.4166202510637948,0.36106826906671935,0.4218257586729655
1.0,0.9972132980139878,-1.7567386195466235,-0.2763468844628729,-0.504085471596759,0.35763812741126577,0.5426175052001121
1.0,0.9582467539627614,-1.724951743181925,-0.2485712279590289,-0.5317674690137119,0.32191809295795126,0.5902946620660466
1.0,0.9246272975272242,-1.6975267422950129,-0.2082158941664333,-0.5273936575861261,0.26987760586325643,0.5973351360423917
1.0,0.8974487667433184,-1.6753559129634097,-0.1647115663817075,-0.508943751059656,0.21372226946690243,0.5850393995336601
1.0,0.8766430050653978,-1.658383656628333,-0.12426210741231426,-0.4868769260889172,0.16148460880360713,0.5660514365202124
1.0,0.8614506072258257,-1.6459904900397095,-0.09013597968193149,-0.46650081919473885,0.11740006644211583,0.5470500239556698
1.0,0.8508107081265504,-1.63731101472476,-0.06336488791206062,-0.4499291388646668,0.08281000827514198,0.5309708435245317
1.0,0.8436324604966176,-1.6314553743162106,-0.04355597893591153,-0.4375026068381142,0.057211932784381206,0.518622542772402
1.0,0.8389503488138944,-1.6276359515573238,-0.029599246566752183,-0.4287223752438598,0.0391744125482443,0.509756092110035
1.0,0.8359886594196744,-1.6252199596623034,-0.020171810467325378,-0.4228043307922216,0.02698948807082246,0.5037096014486879
1.0,0.8341670378803533,-1.6237339757223999,-0.014035023888403874,-0.41896924793766743,0.019057184754768693,0.4997559638755024
1.0,0.833075104860631,-1.622843233657853,-0.010169494872955178,-0.4165667399353166,0.014060394763557424,0.49726140483255366
1.0,0.8324359148470806,-1.6223218157484904,-0.0078054733104004894,-0.41510589069932347,0.011004393234453997,0.4957356500614201
1.0,0.8320698687066473,-1.6220232143792122,-0.0063978685848329435,-0.4142409939654799,0.009184693117648303,0.4948278609803131
1.0,0.8318876754961017,-1.6218745906508547,-0.005673782136625935,-0.41379835347036437,0.008248590801333592,0.49436141610836476
1.0,0.8318876754961017,-1.6218745906508547,-0.005673782136625935,-0.41379835347036437,0.008248590801333592,0.49436141610836476
1.0,0.8318876754961017,-1.6218745906508547,-0.005673782136625935,-0.41379835347036437,0.008248590801333592,0.49436141610836476
1.0,0.8318876754961017,-1.6218745906508547,-0.005673782136625935,-0.41379835347036437,0.008248590801333592,0.49436141610836476
1.0,0.8318876754961017,-1.6218745906508547,-0.005673782136625935,-0.41379835347036437,0.008248590801333592,0.49436141610836476
1.0,0.8318871025852183,-1.6218741233000067,-0.005714142802818746,-0.4137259764390744,0.008300767662821042,0.49427402027608835
1.0,0.8251461853359879,-1.6163752342298272,-0.16095578280556916,-0.13759365704621063,0.20901612457096555,0.16248967356516128
1.0,0.7339790740499056,-1.542005854919008,-1.1083763574772871,1.411988212956453,1.434290069738855,-1.6803100479105169
